age,gender,device_type,ad_position,time_of_day,click
39.5,Unknown,Desktop,Top,Afternoon,1
49.0,Unknown,Tablet,Side,Night,1
42.0,Male,Desktop,Side,Unknown,0
39.5,Female,Mobile,Side,Evening,1
39.5,Unknown,Desktop,Top,Night,1
32.0,Male,Mobile,Top,Unknown,0
39.5,Unknown,Desktop,Top,Night,1
20.0,Unknown,Tablet,Side,Unknown,1
25.0,Unknown,Mobile,Unknown,Afternoon,0
39.5,Unknown,Desktop,Side,Morning,0
58.0,Male,Tablet,Bottom,Unknown,1
44.0,Non-Binary,Tablet,Side,Evening,1
32.0,Unknown,Tablet,Side,Morning,1
47.0,Unknown,Mobile,Bottom,Afternoon,1
39.5,Unknown,Tablet,Top,Unknown,0
39.5,Unknown,Unknown,Unknown,Morning,1
53.0,Non-Binary,Mobile,Side,Morning,1
39.5,Unknown,Mobile,Top,Night,0
39.5,Unknown,Desktop,Side,Evening,1
51.0,Non-Binary,Tablet,Top,Afternoon,1
34.0,Female,Mobile,Unknown,Evening,1
25.0,Unknown,Mobile,Bottom,Unknown,1
20.0,Male,Mobile,Side,Night,1
39.5,Unknown,Tablet,Side,Afternoon,1
51.0,Male,Mobile,Top,Morning,1
39.5,Unknown,Tablet,Side,Evening,1
38.0,Unknown,Mobile,Unknown,Afternoon,1
45.0,Unknown,Tablet,Top,Evening,0
39.5,Non-Binary,Unknown,Unknown,Morning,1
20.0,Unknown,Unknown,Bottom,Morning,1
39.5,Unknown,Mobile,Bottom,Evening,0
39.5,Unknown,Tablet,Unknown,Morning,1
29.0,Male,Mobile,Top,Evening,0
51.0,Non-Binary,Tablet,Top,Afternoon,1
39.5,Unknown,Tablet,Unknown,Evening,0
56.0,Unknown,Desktop,Top,Afternoon,1
62.0,Unknown,Unknown,Bottom,Night,1
39.5,Non-Binary,Unknown,Top,Afternoon,1
41.0,Female,Tablet,Top,Evening,0
50.0,Female,Desktop,Unknown,Unknown,1
39.5,Unknown,Unknown,Side,Evening,1
39.5,Male,Tablet,Top,Morning,1
41.0,Unknown,Tablet,Top,Morning,0
39.5,Non-Binary,Tablet,Bottom,Evening,1
39.5,Unknown,Tablet,Top,Unknown,0
26.0,Unknown,Mobile,Side,Unknown,1
28.0,Unknown,Mobile,Bottom,Morning,1
39.5,Unknown,Tablet,Top,Unknown,1
44.0,Male,Tablet,Side,Evening,1
39.5,Female,Tablet,Top,Night,1
39.5,Female,Mobile,Side,Night,1
53.0,Unknown,Desktop,Side,Morning,0
51.0,Unknown,Desktop,Bottom,Night,0
49.0,Unknown,Desktop,Side,Evening,0
57.0,Non-Binary,Mobile,Side,Unknown,1
39.5,Female,Unknown,Bottom,Afternoon,1
63.0,Male,Desktop,Side,Evening,1
39.5,Non-Binary,Mobile,Unknown,Morning,1
37.0,Unknown,Desktop,Unknown,Afternoon,1
39.5,Unknown,Desktop,Bottom,Unknown,1
39.5,Non-Binary,Desktop,Unknown,Afternoon,1
39.5,Unknown,Mobile,Top,Unknown,0
56.0,Unknown,Tablet,Bottom,Afternoon,1
39.5,Non-Binary,Mobile,Unknown,Afternoon,1
53.0,Non-Binary,Mobile,Side,Morning,1
21.0,Unknown,Desktop,Top,Unknown,1
58.0,Non-Binary,Mobile,Unknown,Evening,1
37.0,Unknown,Desktop,Unknown,Evening,1
39.5,Unknown,Desktop,Bottom,Morning,1
44.0,Female,Mobile,Top,Unknown,0
24.0,Male,Mobile,Bottom,Evening,1
39.5,Male,Tablet,Side,Unknown,0
26.0,Female,Mobile,Unknown,Evening,1
39.5,Unknown,Unknown,Bottom,Night,0
39.5,Female,Mobile,Bottom,Night,1
54.0,Male,Desktop,Bottom,Night,1
44.0,Male,Unknown,Side,Evening,1
39.5,Male,Mobile,Bottom,Morning,1
39.5,Unknown,Desktop,Side,Unknown,1
52.0,Unknown,Tablet,Bottom,Afternoon,1
39.5,Female,Desktop,Bottom,Evening,1
52.0,Unknown,Tablet,Side,Unknown,0
39.5,Non-Binary,Tablet,Top,Night,1
39.0,Unknown,Desktop,Top,Evening,1
56.0,Female,Mobile,Side,Evening,0
57.0,Female,Desktop,Top,Night,0
62.0,Female,Mobile,Side,Afternoon,0
59.0,Unknown,Tablet,Side,Morning,1
30.0,Unknown,Desktop,Side,Morning,1
28.0,Unknown,Tablet,Side,Unknown,1
54.0,Female,Unknown,Top,Night,1
39.5,Unknown,Desktop,Bottom,Evening,0
39.5,Female,Unknown,Top,Afternoon,0
43.0,Non-Binary,Mobile,Top,Afternoon,1
39.5,Female,Desktop,Side,Night,1
39.5,Male,Mobile,Bottom,Night,0
44.0,Female,Unknown,Unknown,Evening,1
39.5,Unknown,Mobile,Side,Afternoon,1
45.0,Unknown,Mobile,Bottom,Night,1
22.0,Male,Desktop,Bottom,Morning,0
39.5,Female,Mobile,Top,Afternoon,1
45.0,Unknown,Desktop,Top,Morning,1
26.0,Male,Desktop,Side,Night,0
39.5,Unknown,Desktop,Side,Unknown,1
39.5,Unknown,Tablet,Unknown,Evening,1
39.5,Female,Unknown,Side,Evening,1
39.5,Female,Unknown,Top,Night,0
56.0,Female,Mobile,Bottom,Morning,1
39.5,Unknown,Desktop,Bottom,Afternoon,1
39.5,Unknown,Unknown,Bottom,Morning,0
39.5,Non-Binary,Unknown,Side,Afternoon,1
39.5,Unknown,Unknown,Bottom,Evening,1
36.0,Female,Desktop,Bottom,Afternoon,1
39.5,Non-Binary,Mobile,Side,Night,1
59.0,Male,Unknown,Side,Evening,1
58.0,Unknown,Desktop,Top,Afternoon,1
35.0,Unknown,Mobile,Top,Unknown,1
39.5,Female,Tablet,Bottom,Unknown,1
49.0,Unknown,Mobile,Unknown,Morning,0
40.0,Non-Binary,Mobile,Unknown,Night,1
22.0,Male,Unknown,Top,Evening,0
24.0,Unknown,Mobile,Side,Morning,0
39.5,Unknown,Unknown,Top,Afternoon,1
61.0,Male,Desktop,Side,Morning,1
39.5,Unknown,Unknown,Bottom,Night,0
39.5,Non-Binary,Desktop,Unknown,Unknown,1
39.5,Unknown,Desktop,Side,Morning,0
30.0,Unknown,Unknown,Bottom,Afternoon,0
39.5,Non-Binary,Tablet,Side,Unknown,0
39.5,Unknown,Unknown,Bottom,Unknown,1
39.5,Non-Binary,Desktop,Bottom,Afternoon,1
39.5,Female,Mobile,Bottom,Night,1
39.5,Unknown,Mobile,Top,Afternoon,1
27.0,Unknown,Tablet,Side,Afternoon,1
39.5,Female,Tablet,Side,Morning,1
39.5,Non-Binary,Mobile,Top,Morning,1
56.0,Unknown,Desktop,Top,Afternoon,0
32.0,Non-Binary,Desktop,Top,Night,1
39.5,Female,Desktop,Side,Night,1
52.0,Unknown,Tablet,Bottom,Afternoon,1
39.5,Non-Binary,Tablet,Bottom,Evening,1
39.5,Female,Unknown,Unknown,Afternoon,0
49.0,Male,Unknown,Unknown,Afternoon,1
39.5,Male,Desktop,Unknown,Morning,0
28.0,Unknown,Desktop,Top,Morning,1
39.5,Unknown,Desktop,Bottom,Unknown,1
39.5,Unknown,Unknown,Side,Afternoon,1
34.0,Female,Mobile,Top,Night,0
39.5,Female,Desktop,Bottom,Morning,1
46.0,Unknown,Desktop,Bottom,Evening,1
53.0,Non-Binary,Mobile,Side,Unknown,1
30.0,Non-Binary,Mobile,Unknown,Morning,1
46.0,Unknown,Unknown,Top,Evening,1
39.5,Unknown,Desktop,Unknown,Unknown,0
39.5,Unknown,Desktop,Side,Morning,1
30.0,Female,Desktop,Bottom,Night,0
31.0,Unknown,Unknown,Side,Afternoon,1
45.0,Unknown,Mobile,Bottom,Night,1
39.5,Female,Mobile,Side,Afternoon,0
39.5,Unknown,Tablet,Side,Unknown,0
49.0,Male,Desktop,Top,Unknown,1
39.5,Female,Unknown,Top,Morning,1
55.0,Unknown,Tablet,Unknown,Unknown,1
43.0,Unknown,Tablet,Side,Night,0
39.5,Unknown,Desktop,Top,Morning,0
47.0,Unknown,Desktop,Bottom,Unknown,1
39.5,Unknown,Desktop,Bottom,Night,1
38.0,Non-Binary,Tablet,Bottom,Morning,1
39.5,Unknown,Desktop,Bottom,Night,1
39.5,Female,Desktop,Side,Morning,1
39.5,Unknown,Desktop,Side,Afternoon,0
62.0,Female,Desktop,Side,Morning,1
39.5,Unknown,Tablet,Top,Morning,0
46.0,Unknown,Mobile,Top,Unknown,0
35.0,Male,Unknown,Side,Morning,0
39.5,Male,Tablet,Bottom,Evening,1
43.0,Non-Binary,Unknown,Bottom,Night,0
39.5,Unknown,Mobile,Bottom,Morning,1
39.5,Male,Unknown,Unknown,Evening,1
